Content,Count,Percentage
带,91,0.04349550944712906%
漂亮,91,0.04349550944712906%
中国,90,0.043017536815841924%
或,90,0.043017536815841924%
这里,90,0.043017536815841924%
可,89,0.04253956418455479%
6666666,89,0.04253956418455479%
武器,89,0.04253956418455479%
兄弟,89,0.04253956418455479%
看着,88,0.042061591553267656%
挺,88,0.042061591553267656%
+,87,0.04158361892198053%
@,86,0.041105646290693396%
下,86,0.041105646290693396%
声音,85,0.04062767365940626%
但是,85,0.04062767365940626%
BGM,85,0.04062767365940626%
爱,84,0.040149701028119135%
哒,84,0.040149701028119135%
|,83,0.039671728396832%
美美,83,0.039671728396832%
男,83,0.039671728396832%
（,83,0.039671728396832%
中,82,0.03919375576554487%
不行,82,0.03919375576554487%
牛肉,82,0.03919375576554487%
秀,81,0.038715783134257734%
最后,81,0.038715783134257734%
印度,80,0.0382378105029706%
还行,80,0.0382378105029706%
终于,80,0.0382378105029706%
多少,80,0.0382378105029706%
高,80,0.0382378105029706%
蔡,80,0.0382378105029706%
东西,79,0.037759837871683466%
”,79,0.037759837871683466%
66666666,79,0.037759837871683466%
妹子,78,0.03728186524039633%
鬼,78,0.03728186524039633%
∀,78,0.03728186524039633%
年,77,0.0368038926091092%
飞机,77,0.0368038926091092%
大佬,76,0.03632591997782207%
女人,76,0.03632591997782207%
好评,76,0.03632591997782207%
_,76,0.03632591997782207%
前面,75,0.03584794734653494%
李哥,75,0.03584794734653494%
男人,74,0.035369974715247804%
顶得住,74,0.035369974715247804%
后面,74,0.035369974715247804%
Д,73,0.03489200208396068%
嗷,73,0.03489200208396068%
衣服,73,0.03489200208396068%
你好,73,0.03489200208396068%
老弟,72,0.03441402945267354%
肯定,72,0.03441402945267354%
lei,72,0.03441402945267354%
出,71,0.03393605682138641%
真香,71,0.03393605682138641%
“,71,0.03393605682138641%
哪里,71,0.03393605682138641%
可能,70,0.033458084190099276%
前排,70,0.033458084190099276%
弟弟,70,0.033458084190099276%
奔驰,69,0.03298011155881214%
回来,69,0.03298011155881214%
日本,69,0.03298011155881214%
两个,69,0.03298011155881214%
干,68,0.03250213892752501%
大家,68,0.03250213892752501%
哪,68,0.03250213892752501%
脸,67,0.032024166296237874%
一次,67,0.032024166296237874%
香蕉,67,0.032024166296237874%
徐坤,67,0.032024166296237874%
快手,67,0.032024166296237874%
酸,67,0.032024166296237874%
看过,66,0.03154619366495075%
问题,66,0.03154619366495075%
这些,66,0.03154619366495075%
B,66,0.03154619366495075%
¿,66,0.03154619366495075%
魔鬼,66,0.03154619366495075%
只,65,0.031068221033663614%
跑,65,0.031068221033663614%
所以,65,0.031068221033663614%
饼,65,0.031068221033663614%
广告,65,0.031068221033663614%
封面,65,0.031068221033663614%
不用,64,0.03059024840237648%
她,64,0.03059024840237648%
原来,64,0.03059024840237648%
加,64,0.03059024840237648%
尼玛,64,0.03059024840237648%
´,64,0.03059024840237648%
肉,64,0.03059024840237648%
坦克,64,0.03059024840237648%
4,64,0.03059024840237648%
......,63,0.030112275771089346%
妈,63,0.030112275771089346%
/,63,0.030112275771089346%
确实,62,0.029634303139802216%
....,62,0.029634303139802216%
女,62,0.029634303139802216%
找,62,0.029634303139802216%
顶不住,61,0.029156330508515082%
别人,61,0.029156330508515082%
好听,61,0.029156330508515082%
0,61,0.029156330508515082%
👯,61,0.029156330508515082%
刺激,61,0.029156330508515082%
大哥,60,0.028678357877227948%
怕,60,0.028678357877227948%
其实,60,0.028678357877227948%
电影,60,0.028678357877227948%
我来,60,0.028678357877227948%
awsl,60,0.028678357877227948%
菜,60,0.028678357877227948%
233,59,0.02820038524594082%
请,59,0.02820038524594082%
懂,59,0.02820038524594082%
一直,59,0.02820038524594082%
66666666666,59,0.02820038524594082%
up,58,0.027722412614653687%
更新,58,0.027722412614653687%
新,58,0.027722412614653687%
世界,58,0.027722412614653687%
666666666,58,0.027722412614653687%
先,57,0.027244439983366554%
跳,57,0.027244439983366554%
